source_id,target_id
1001,1027
1001,team_308
1002,team_260
1002,team_183
1002,team_149
1003,team_6
1003,team_444
1004,1032
1004,team_140
1005,team_27
1005,team_520
1005,team_61
1006,team_572
1006,team_238
1007,team_258
1007,team_469
1007,team_599
1007,team_310
1007,1008
1008,team_76
1008,team_444
1008,team_369
1009,team_199
1009,team_253
1009,team_365
1009,team_149
1010,team_405
1010,team_144
1011,team_372
1011,team_611
1011,team_299
1011,1046
1012,team_55
1012,team_17
1012,team_403
1012,team_127
1012,team_564
1013,team_634
1013,team_625
1013,team_389
1013,team_588
1014,team_82
1014,team_119
1014,1048
1015,team_321
1015,team_128
1015,team_27
1016,team_405
1016,team_310
1017,team_640
1017,team_391
1017,team_204
1017,team_397
1017,team_382
1018,team_673
1018,team_300
1018,team_8
1019,team_616
1019,team_640
1020,team_547
1020,team_280
1020,team_205
1021,team_404
1021,team_303
1021,team_645
1021,team_69
1021,team_569
1022,team_687
1022,team_354
1022,team_106
1023,1034
1023,team_346
1023,team_424
1024,team_115
1024,team_25
1024,team_578
1024,team_95
1025,team_250
1025,team_66
1025,team_515
1025,team_42
1026,team_187
1026,team_3
1026,team_183
1026,team_282
1026,team_572
1027,team_594
1027,team_45
1027,team_593
1027,team_422
1028,team_257
1028,team_182
1028,team_524
1028,team_51
1029,1050
1029,team_156
1030,team_633
1030,team_201
1030,team_682
1031,team_604
1031,team_113
1031,team_41
1031,team_406
1031,team_487
1032,team_565
1032,1012
1032,team_682
1032,team_98
1033,team_684
1033,team_55
1034,team_646
1034,team_369
1034,team_158
1034,team_325
1035,team_20
1035,team_473
1035,1004
1035,team_99
1035,team_96
1036,team_516
1036,team_219
1036,team_522
1036,team_152
1037,team_644
1037,team_522
1037,team_616
1037,team_238
1038,team_4
1038,team_203
1038,team_552
1039,team_607
1039,team_353
1040,1020
1040,team_158
1040,team_39
1040,team_338
1040,team_276
1041,team_277
1041,team_578
1042,team_133
1042,team_502
1043,team_546
1043,team_170
1044,team_663
1044,team_493
1044,team_561
1045,team_3
1045,team_541
1045,team_614
1046,team_25
1046,team_552
1046,team_691
1046,team_24
1046,team_90
1047,team_422
1047,team_674
1047,team_654
1047,team_4
1048,team_531
1048,team_471
1048,team_166
1048,team_283
1048,team_262
1049,team_367
1049,1022
1050,team_598
1050,team_258
1050,1008
team_1,team_85
team_1,team_637
team_10,team_266
team_10,team_117
team_100,team_36
team_100,team_12
team_101,team_311
team_101,team_672
team_101,team_502
team_102,team_552
team_102,team_177
team_102,team_581
team_103,team_279
team_103,team_491
team_103,team_43
team_103,team_23
team_103,team_141
team_104,team_662
team_104,team_452
team_105,team_445
team_105,team_433
team_105,team_486
team_105,team_103
team_106,team_110
team_106,team_426
team_107,team_155
team_107,team_284
team_107,team_231
team_107,team_23
team_108,team_184
team_108,team_444
team_108,team_223
team_108,team_311
team_108,team_481
team_109,team_124
team_109,team_463
team_109,team_562
team_11,team_10
team_11,team_656
team_110,team_140
team_110,team_273
team_111,team_43
team_111,team_502
team_111,team_499
team_112,team_424
team_112,team_108
team_112,team_206
team_113,1003
team_113,team_414
team_113,team_3
team_113,team_474
team_113,team_318
team_114,team_75
team_114,team_568
team_114,team_665
team_114,team_95
team_114,team_503
team_115,team_23
team_115,team_328
team_115,team_255
team_116,team_59
team_116,team_555
team_117,team_344
team_117,team_106
team_118,team_594
team_118,team_495
team_119,team_106
team_119,team_523
team_119,team_129
team_12,team_117
team_12,team_603
team_12,team_116
team_120,team_427
team_120,team_165
team_120,team_580
team_121,team_589
team_121,team_602
team_121,1041
team_122,team_441
team_122,team_661
team_123,team_296
team_123,team_243
team_123,team_672
team_123,team_93
team_124,team_275
team_124,team_3
team_124,team_42
team_124,team_176
team_125,team_477
team_125,team_346
team_125,team_120
team_125,1010
team_126,team_628
team_126,team_574
team_126,team_147
team_126,team_121
team_126,team_550
team_127,team_521
team_127,team_3
team_127,team_177
team_128,team_117
team_128,team_280
team_128,team_396
team_128,team_317
team_129,team_459
team_129,team_556
team_129,team_81
team_13,team_619
team_13,team_658
team_13,team_542
team_13,1009
team_130,team_667
team_130,team_150
team_130,team_179
team_130,team_299
team_131,team_153
team_131,team_565
team_132,team_305
team_132,team_314
team_132,team_612
team_133,team_94
team_133,team_371
team_133,team_242
team_134,team_520
team_134,team_505
team_134,team_287
team_134,team_100
team_135,team_64
team_135,team_445
team_136,1046
team_136,1004
team_136,team_362
team_136,team_175
team_137,team_203
team_137,team_462
team_137,team_563
team_137,team_83
team_138,team_572
team_138,1010
team_138,team_158
team_138,team_123
team_138,team_7
team_139,team_558
team_139,1037
team_139,team_396
team_14,team_451
team_14,team_172
team_14,1043
team_140,team_391
team_140,1041
team_140,team_385
team_140,team_249
team_141,team_67
team_141,team_15
team_141,team_381
team_142,team_627
team_142,team_198
team_142,team_273
team_142,team_204
team_142,team_218
team_143,1026
team_143,team_22
team_143,team_361
team_143,team_434
team_143,team_672
team_144,team_300
team_144,team_201
team_144,team_8
team_145,team_407
team_145,1040
team_146,team_26
team_146,team_239
team_146,team_48
team_146,team_378
team_146,team_336
team_147,team_260
team_147,1025
team_147,team_663
team_148,team_422
team_148,team_358
team_148,team_311
team_149,team_311
team_149,team_379
team_15,team_681
team_15,team_55
team_15,team_360
team_15,1029
team_15,team_161
team_150,team_219
team_150,team_590
team_150,team_3
team_150,1040
team_151,team_604
team_151,team_455
team_152,team_344
team_152,team_457
team_152,team_613
team_152,team_526
team_153,team_41
team_153,team_587
team_154,team_29
team_154,1046
team_154,team_86
team_155,1002
team_155,team_534
team_155,team_551
team_155,team_689
team_155,team_96
team_156,team_390
team_156,team_452
team_156,team_118
team_157,team_63
team_157,team_344
team_157,team_667
team_157,team_17
team_158,team_522
team_158,team_34
team_158,team_67
team_158,team_431
team_159,team_426
team_159,team_75
team_159,team_327
team_159,team_566
team_16,team_231
team_16,team_442
team_16,team_668
team_160,team_68
team_160,team_215
team_160,team_622
team_160,team_58
team_160,team_332
team_161,team_560
team_161,1001
team_161,team_335
team_161,team_319
team_161,team_249
team_162,team_59
team_162,team_614
team_162,team_659
team_162,team_351
team_162,team_484
team_163,team_462
team_163,team_678
team_163,team_251
team_163,team_526
team_163,team_491
team_164,team_662
team_164,team_131
team_164,team_316
team_165,team_14
team_165,team_271
team_165,team_675
team_165,team_340
team_166,team_238
team_166,team_190
team_166,1026
team_167,team_280
team_167,team_493
team_168,team_475
team_168,team_437
team_169,team_95
team_169,team_75
team_169,team_409
team_17,team_423
team_17,team_28
team_17,team_191
team_17,team_66
team_17,team_69
team_170,team_152
team_170,team_447
team_171,team_217
team_171,team_74
team_171,team_532
team_172,team_10
team_172,team_569
team_172,team_285
team_172,team_166
team_172,team_476
team_173,team_483
team_173,team_670
team_173,team_544
team_174,team_463
team_174,team_62
team_174,team_96
team_174,team_52
team_175,team_560
team_175,team_466
team_175,team_200
team_175,team_493
